"","x"
"41","<U+0001F6A8>Hay informaciones que señalan un posible acuerdo entre el Gobierno y Bildu para el acercamiento de presos etarras al País Vasco.

<U+2049><U+FE0F> ¿Qué hay de cierto? Es curioso que los acercamientos incrementaran tras la tramitación de los PGE...

<U+0001F3DB><U+FE0F>Preguntamos sobre ello al Gobierno. https://t.co/Le8occL4Zn"
"42","Cataluña se está empobreciendo por la inseguridad jurídica del procés y por la mala gestión y el infierno fiscal causado por los diferentes Governs separatistas. Urge restablecer la confianza y que las empresas vuelvan a nuestra tierra #ParaQueGanemosTodos
https://t.co/axJaYBbJpn"
"43","A Page no le parece grave que los políticos se salten el protocolo de vacunación, y Núñez directamente pide que tengan prioridad.

Desde <U+2066>@Cs_CLM<U+2069>, en cambio, queremos que se vacune primero a los docentes. Para protegerlos a ellos y a nuestros hijos. https://t.co/WESZqWZ5Y0"
"44","<U+0001F914> ¿Quieres estar al día de nuestras actividades en el @SenadoEsp?

<U+0001F449>No le pierdas la pista a nuestros senadores:
@TomasMarcos
@Carla_SantiagoC
@Emilio_Argueso
@FranHervias
@MariaPG1980
@MikySaLo
@RuthGoni

<U+0001F34A>¡Mantente al día de la #ActualidadCs! https://t.co/syNDxLXlLN"
"45","Irene Montero remodeló una de las oficinas del Ministerio para montar la “sala de juegos”, así es como la llaman, de los niños. 

La escolta les hace la compra, la niñera, sala de juegos... y todo, lo pagas tú.

Esto mejora por momentos.<U+0001F926><U+200D><U+2642><U+FE0F>
 https://t.co/7xsxqZlJsx"
"46","No sólo tenemos niñeras públicas, también parques de bolas en el Ministerio. 

Tuvieron de quien aprender cuando no eran casta. 

“Nosotros administramos dinero público, y el dinero público no es de nadie”, Carmen Calvo (29/05/2004) https://t.co/YGjDBNFbE3"
"47","<U+0001F4DA>Ningún otro partido ha garantizado el español en las aulas catalanas.

<U+0001F34A>En @CiutadansCs defenderemos el derecho de los padres a elegir la educación de sus hijos.

<U+2705>Y #ParaQueGanemosTodos apostaremos por:
<U+0001F449>Libros, comedor y transporte escolar gratuitos
<U+0001F449>Tablets con internet https://t.co/hZF4WyDwqB"
"48","Cataluña necesita un gobierno que gobierne para todos los catalanes. Cataluña necesita @CiutadansCs https://t.co/1pMGk7QJYx"
"49","Un país serio hace frente a sus compromisos financieros y, además, lleva a cabo las reformas necesarias para asegurar la sostenibilidad de sus cuentas. 

Mensajes como este sólo sirven para minar la confianza en nuestro país. 

Ojalá un PSOE responsable.  https://t.co/h1BajBvXEL"
"50","¿Cuál es el voto seguro en Cataluña?

<U+0001F34A> El de @CiutadansCs
<U+274C> Evita cambiar el tripartito de Montilla por el de Illa

¿Qué conseguiremos?

<U+2705> Un Gobierno #ParaQueGanemosTodos
<U+2705> Fin del 'procés'
<U+2705> Acabar con la mala gestión económica y política

<U+0001F5A5> @InesArrimadas #NEFOnline https://t.co/8sz87ED85h"
