"","x"
"32","""Diálogo sobre políticas feministas"" <U+0001F339><U+0001F49C> 

<U+0001F465> @salvadorilla Hoy he propuesto bajar el salario del President de la Generalitat un 30%.

Esto es pisar el suelo y conectar con la sensibilidad de la gente.

<U+0001F465> @carmencalvo_ Es una propuesta digna y ética, Salvador.

#PresidentIlla https://t.co/oGW4kniKwC"
"33","<U+0001F534> #ENDIRECTO #ENDIRECTE|  Diálogo del candidato a la presidencia de la Generalitat, @salvadorilla, y la secretaria de igualdad del #PSOE y vicepresidenta primera, @carmencalvo_.

<U+0001F64B><U+200D><U+2640><U+FE0F><U+0001F64B> ""Diálogo sobre Políticas Feministas"".

#PresidentIlla 
#VotaPSC /<U+2764><U+FE0F> https://t.co/A08gEmfhg0"
"34","Que dice el #PP que todo tiene que ver con maniobras...

NO HAN APRENDIDO NADA.

Maniobrar es:
Montar la #Kitchen para tapar un delito.
Romper el disco duro de Bárcenas.
Destruir los papeles de la caja B.

CASADO, ¡da explicaciones YA! <U+0001F4E3>

#PartidoPopularenB https://t.co/a4Ja7e77uD"
"35","<U+0001F4AC> ""Diálogo sobre políticas feministas"".
 
<U+0001F64B> @salvadorilla
<U+0001F64B><U+200D><U+2640><U+FE0F> @carmencalvo_
 
<U+0001F534> ¡Síguelo en nuestras redes sociales!
<U+25B6><U+FE0F>
 
#PresidentIlla
#VotaPSC /<U+2764><U+FE0F> https://t.co/aVVWLrGVCF"
"36","No es una época del pasado.
Es toda la historia del PP, desde Alianza Popular.

<U+274C>Ya no es solo la financiación B. Es también su afán por destruir pruebas utilizando el aparato del Estado, como se ve en la #Kitchen. Es siniestro.

Escucha a @abalosmeco 

#PartidoPopularEnB https://t.co/unL0M6CQf4"
"37","Animo a Casado a que saque la pala, limpie el PP y depure responsabilidades.

Hablamos de 3 décadas de financiación irregular. Esto hace daño a la propia democracia, algo intolerable.

<U+0001F449> Esta es la historia del Partido Popular.

Escucha a @Ander_Gil 

#PartidoPopularEnB https://t.co/jezUYlCPIo"
"38","Bárcenas CONFIESA.
 
Ni era un caso aislado, ni una trama contra el PP.
 
El PP lleva más de 27 años financiándose ilegalmente.
<U+0001F449> Antes de que el PP fuese un partido <U+0001F448>
 
La corrupción va ligada a la historia del PP.

#PartidoPopularEnB
 
https://t.co/Znf9RoxMXM https://t.co/gbxTEJaKBP"
"39","Ni fue una sola persona ni fue un momento lejano. La corrupción se confunde con la historia, la estructura y la dirección del PP durante décadas. Casado debe dar explicaciones ya. 
El PP dispuso de una caja B desde antes de su fundación https://t.co/RrzyhUu7T4"
"40","Mi presidencia será trabajar por la gente.
 
<U+0001F3E5> Fortalecer la sanidad.
<U+0001F4C8> Recuperar la economía.
<U+0001F6E1><U+FE0F> No dejar a nadie atrás.
 
AVANZAR.
PASAR PÁGINA.
 
<U+0001F5F3><U+FE0F> #14F La única opción de cambio y de pasar página es mi candidatura.
 
<U+0001F465> @salvadorilla debate en @SERCatalunya

#PresidentIlla https://t.co/Xv3geV3lV6"
"41","<U+0001F5E8><U+FE0F>@salvadorilla a @AquiCuni de @SERCatalunya:

""El sou del president de la Generalitat de Catalunya és 3 VEGADES el sou de primer ministre italià.

<U+0001F449>REBAIXARÉ UN 30% el sou del president de la Generalitat, per estar més a prop de la gent"".

#PresidentIlla https://t.co/BlATqnoMbE"
"42","La cultura es un derecho de los ciudadanos y de los artistas.
Por eso, trabajamos en :
 
Derechos de autor.
Estatuto del Artista.
Convenios con organismos para un acceso universal.
 
Representan el 3,2% del PIB.
 
<U+0001F4FA> @jmrdezuribes en @telemadrid
 
#LaEspañaQueNosMerecemos https://t.co/Lg4VFNEuoO"
"43","<U+0001F6E1><U+FE0F><U+0001F91D> Hemos tejido una red de protección para los colectivos más vulnerables de la #cultura.
 
La partida en los PGE sube un 38%.
80 millones directos. 
800 millones en créditos para liquidez.
 
<U+0001F4FA> @jmrdezuribes en @telemadrid
 
#LaEspañaQueNosMerecemos https://t.co/uZNALkrc5m"
"44","¡En unos minutos!

<U+0001F4DA><U+0001F4FD><U+FE0F><U+0001F3AD><U+0001F945> No te pierdas la entrevista con el ministro de @culturagob, @jmrdezuribes, a partir de las 9:30h.

<U+0001F4FA> En @telemadrid, con @EuprepioPadula.

<U+0001F4F6> https://t.co/UgeXOQyc1C

#LaEspañaQueNosMerecemos https://t.co/mIkkwqpKwf"
"45","NO se debe hacer política de la pandemia.
NO se puede sacar rédito político en una pandemia.

Se ha de trabajar desde la cooperación.

<U+0001F465> @salvadorilla debate en @SERCatalunya 

#PresidentIlla https://t.co/e7y6oLxo0K"
"46","¡Buenos días! Bon día!
<U+0001F31E><U+0001F5F3><U+FE0F>

<U+0001F5D3><U+FE0F>Esta es la agenda #14F para hoy de @salvadorilla:

<U+0001F399><U+FE0F>A las 8:45h, participa en el debate de @SERCatalunya.

<U+0001F5E3><U+FE0F>A las 12:00h, diálogo sobre ""Políticas Feministas"" con @carmencalvo_ .

<U+0001F4AC>A las 17:30h, acto sobre ""Memoria Democrática"".

#PresidentIlla https://t.co/mNY3KFtEst"
"47","Fem que torni Catalunya:
<U+0001F91D> la del retrobament
<U+0001F3E5> la de la sanitat pública
<U+2705> la que no deixa ningú enrere
<U+0001F339> És el moment. 
#VotaPSC/<U+2764><U+FE0F> https://t.co/mJikaqtnIJ"
"48","No creo que Vox se vaya a convertir en un partido de Estado.

Se trata de la estrategia que tienen PP y Vox en su disputa.

<U+0001F4FA> @Ander_Gil en #LaNoche24h

#LaEspañaQueNosMerecemos https://t.co/wDWVC70Qkt"
"49","El presidente del Gobierno @sanchezcastejon ha comparecido ante el Parlamento durante los varios estados de alarma.

Las Cortes Generales han funcionado y están funcionando.

<U+0001F4FA> @Ander_Gil en #LaNoche24h

#LaEspañaQueNosMerecemos https://t.co/kp3RPynrBW"
"50","El Plan de Recuperación y los fondos europeos abordarán las transformaciones que necesita el país sin dejar a nadie atrás y fortaleciendo lo público.

La salida de esta crisis va a ser muy distinta a la que aplicó el PP.

<U+0001F4FA> @Ander_Gil en #LaNoche24h

#LaEspañaQueNosMerecemos https://t.co/1zef9DU5K3"
"51","Casado debe comparecer ante la opinión pública porque lanza un mensaje sospechoso: el que calla, otorga.

Hay 2 senadores en activo señalados por los papeles de Bárcenas.

Casado debe tomar la iniciativa.

<U+0001F4FA> @Ander_Gil en #LaNoche24h

#LaEspañaQueNosMerecemos https://t.co/tfNSGvKpVZ"
