"","x"
"49","<U+25B6><U+FE0F> @AdaColau: ""A Barcelona hem demostrat que era possible una elèctrica pública, un dentista municipal, una unitat contra desnonaments, un pla de barris, les superilles... Hem demostrat que no hi ha impossibles.""

#MunicipalismeCatMereix https://t.co/ODTTa2onz9"
"50","Exigir un informe médico para acceder a un cambio de sexo en el registro es seguir considerando a las trans como enfermas. Es discriminarlas totalmente.

Negar la autodeterminación de la identidad de género es no reconocer el derecho de personas trans a existir.

#LeyTrans"
"51","Pupilo de criminales, máster en nada. https://t.co/dmNdng7uOr"
"52","Llevamos años defendiendo al lobo ibérico y celebramos que por fin se va a acabar con su caza. Una gran notica que protege esta especie tan especial para nuestro país. https://t.co/VoKwXGZiHi"
"53","No, nos referimos a los que animan a los ricos a marcharse de España en medio de una pandemia y criminalizan a los más vulnerables. Es decir, a la extrema derecha. La misma que lleva años llamando ""enemigos de España"" a toda la izquierda sin que tú hayas abierto nunca la boca. https://t.co/qxORzbZHbq"
"54","<U+2705> Hoy el Congreso ha autorizado la ratificación de la #CartaSocialEuropea revisada, un paso decisivo en nuestro país para la protección de los derechos fundamentales en el trabajo, el derecho a la vivienda y el derecho de protección frente a la pobreza. https://t.co/WTopqJKSdM"
"55","A Jiménez Losantos, como a la mayoría de liberales muy españoles y mucho españoles, no les pesa nada poner la mano para recibir dinero de un Gobierno, inclusive si es para mentir en contra de los intereses de la patria. Así son. Siervos de quien les paga.

https://t.co/bbhKf0fLCI"
"56","<U+0001F4E3> Hoy a las 18.00 podéis seguir la mesa redonda de @WomenBJ en la que participa @VickyRosell, delegada del Gobierno contra la Violencia de Género. Este año, la edición del congreso es en homenaje a #RuthBaderGinsburg <U+2640><U+FE0F> #WBJ2021<U+0001F447><U+0001F3FF> https://t.co/24zW2Wo9GR"
"57","Llevamos años trabajando para hacer esto una realidad.

Adiós a esta vergüenza democrática. <U+0001F447>

https://t.co/x7YQhsWd2a"
"58","Al cáncer lo vencemos con ciencia, con sanidad pública, con personal especializado que se deja la vida en ello y con impuestos que permitan inversión en esa lucha. Mi abrazo a quienes están hoy pasando esta enfermedad y a sus seres queridos. #DiaMundialContraElCancer"
"59","Si tomar en cuenta lo que dicen los y las trabajadoras para defender los servicios públicos es sindicalizar la política, pues sindicalicémosla y escuchémosles a ellos y ellas en lugar de a los lobbies alejados de los intereses de las mayorías sociales.

<U+0001F4FD> @MayoralRafa https://t.co/QvdFWBDkbH"
"60","Casado fue jefe de gabinete de Aznar, y M.Rajoy le nombró portavoz y secretario de Comunicación del PP.

Hoy calla el pupilo de criminales y máster en nada.

Pero eso sí: experto en gestión del saqueo de lo público y el secuestro de la Justicia y del Estado para forrarse."
