"","x"
"32","<U+0001F3A5> [VÍDEO] @perearagones, a Illa: ""@junqueras està a la presó per l'acusació particular de Vox. Per tant, a l'extrema dreta, ni aigua. Se la comença blanquejant i s'acaben acceptant els seus vots. No <U+274C> faci el que va fer amb Valls a Barcelona"" #AlCostatDeLaGent <U+0001F447> https://t.co/NxRhaXYU0a"
"33","1209 nits dels Jordis 
1192 nits de l’Oriol i el Quim 
1083 nits del Raül, Jordi, Josep i Dolors
1052 nits de la Carme

<U+0001F397>
Aguanteu que #guanyarem!
#llibertatPresesPolítiques #freeRomeva"
"34","Acabo de votar per correu per a les eleccions del #14F. Fàcil, ràpid i segur. Amb dades d'ahir, s'han fet 270.000 sol·licituds i ja han votat 101.424 persones, el doble que fa tres anys. Seguim! https://t.co/zhauTrljsc"
"35","Igandean, @ArnaldoOtegi|k  @Esquerra_ERC|ren ekitaldi nagusian parte hartuko du. 

Un plaer estar al costat de vosaltres en aquest moment determinant pel futur del vostre país i el nostre.

Dos pobles, una mateixa lluita! <U+270A>

#AlCostatDeLaGent

 https://t.co/iY7QmDBiup"
"36","Amb:
<U+0001F4AA> Treball
<U+0001F91D> Compromís
<U+0001F49B> Il·lusió

Per les persones <U+0001F46B>i la llibertat!

Escollim la #ViaÀmplia perquè només hi ha un camí:
<U+0001F397><U+FE0F> AMNISTIA
<U+270A> INDEPENDÈNCIA

#AlCostatDeLaGent #JordàAmbGirona https://t.co/oLlMsfExcr"
"37","<U+0001F4E3><U+0001F4CD> Acte central de les Terres de l'Ebre telemàtic amb @Llsalvadó i @mjvinya que compartiran la tarda amb @ForcadellCarme i @raulromeva! 
Podreu seguir-lo a:

<U+0001F4BB>  YouTube <U+0001F447><U+0001F3FB>
https://t.co/DH0uidVxMz

<U+0001F44D> Facebook<U+0001F447><U+0001F3FB>
https://t.co/pDfdSPqOrU

<U+0001F4F1> Instagram <U+0001F447><U+0001F3FB>
https://t.co/tcKxypqKrj https://t.co/cQpBrRVa62"
"38","<U+0001F4F0>[NEWS] @Esquerra_ERC will establish a Ministry for Climate Action<U+0001F30D><U+0001F49A> in the forthcoming government

<U+0001F5E3><U+FE0F> @perearagones: ""a transversal leadership is essential to confront the challenges faced not only by the #Catalans but by the whole of humanity.”
https://t.co/SpRgIdNpD2"
"39","<U+270A> @ArnaldoOtegi, @anaponton, @dolorsbassac, @perearagones, @martarovira i @junqueras! 

<U+0001F4E2> ACTE CENTRAL DE CAMPANYA

<U+0001F4C6> Diumege 7 de febrer
<U+0001F55B> 12 h
<U+0001F4CD> https://t.co/K3kK4Pp1dA

#AlCostatDeLaGent https://t.co/JKNh6ogLiY"
"40","Des d’@Esquerra_ERC vam fer possible el tancament de #laModel. Ara, també s’ha de tancar la #comissaria de Via Laietana. D’una presó, a una escola. De la @policia a un centre de #memòria democràtica.

#AlCostatDeLaGent amb l’amic @ernestmaragall. https://t.co/XhjD8R2U10"
"41","Immensament feliç d'haver pogut compartir escenari amb tu, @ForcadellCarme. Valenta, segura i decidida! Gràcies per acompanyar-me en aquest camí <U+0001F49C> https://t.co/7ZgjBZfYRC"
"42","Compte aquest #14F, que no et facin un #Barcelona: el #PSC acceptant els vots dels que practiquen el discurs de l'#ODia i la #intolerància per assaltar el poder...

(No és ciència-ficció: ja ha passat a l'Ajuntament de #Barcelona, la 2ª Institució del país) (1/3) https://t.co/oTD4RbiHYD"
"43","És que Illa ho sap perfectament: només podrà ser president acceptant els vots de V0X. No hi ha cap altra aritmètica possible que li permeti. https://t.co/gKNxJPTlXP"
"44","<U+0001F3A5> [VÍDEO] @perearagones, a Illa: ""A l'extrema dreta ni aigua. Se la comença blanquejant considerant-los partit d'Estat i després s'acaben acceptant els seus vots""#AlCostatDeLaGent <U+0001F447> https://t.co/bawSmEABrw"
"45","<U+0001F3A5> [VÍDEO] @perearagones: ""El que ha de liderar Catalunya és el camí cap a la seva #independència. La clau d'aquest 14F és triar entre el model de governança republicana <U+2705> i els que no tindran cap dubte en fer el que van fer amb Valls a Barcelona"" #AlCostatDeLaGent https://t.co/100dS51ccG"
"46","<U+0001F3A5>[VÍDEO] @perearagones, a Illa: ""Li torno a proposar un <U+0001F5E3><U+FE0F>cara a cara per confrontar models. Jo no tinc por de <U+2705>defensar les meves propostes i m’agradaria<U+0001F914> que fos valent per defensar les seves"" #AlCostatDeLaGent <U+0001F447> https://t.co/e9UQWWYvFh"
"47","<U+0001F3A5> [VÍDEO] @perearagones: ""La campanya de vacunació <U+0001F489> a Catalunya està funcionant. Es va agafar velocitat de creuer en 10 dies. Però pot funcionar <U+2705> molt millor a mesura que vagin arribant més vacunes"" #AlCostatDeLaGent <U+0001F447> https://t.co/7rkln24TRP"
"48","""Omplim les urnes del #14F de llibertat i dignitat. Que els que disfruten empresonant-nos, no guanyin les eleccions. Voteu massivament @Esquerra_ERC que és l’únic que pot derrotar el PSC"", clou @junqueras #AlCostatDeLaGent https://t.co/MSdPwWZETY"
"49","""Mandela, els independentistes irlandesos, Mujica o Gandhi van negociar amb els que els havien empresonat. Nosaltres hem de ser diferents? No té cap sentit. Va en contra del país no negociar, ens tancaria portes de la comunitat internacional"", explica @junqueras #AlCostatDeLaGent https://t.co/elmk6lDhos"
"50",".@junqueras: ""Si l'Estat espanyol hagués sigut un estat homologable democràticament amb països d'Europa, la majoria que vam obtenir al referèndum de l'1O hagués sigut suficient. Però l'Estat a la seva balança no hi posa vots, hi posa policies, nosaltres només hi volem posar vots"" https://t.co/Y9OJEFvzdT"
"51","<U+0001F3A5> [VÍDEO] @perearagones: ""El Govern que jo presideixi no deixarà cap cadira buida en aquells espais on es pugui decidir, no <U+274C> als espais on qui pren les decisions unilateralment és el ministre de torn""  #AlCostatDeLaGent https://t.co/DBTQnk4SbB"
"52",".@junqueras: ""Cap independentista vol una declaració d'independència que duri uns segons. Una de les coses que vam aprendre el 2017 és que necessitem preparar-nos per fer una #República que duri tota la vida. Això exigeix ser més i ser més forts"" #AlCostatDeLaGent https://t.co/ybCE1q3uu8"
"53","""No vull opinar sobre el que diuen els altres. No ens hem d'equivocar de rival. Estic compromès amb el país i amb ajudar a la gent d'aquest país. En lloc de fer-nos retrets entre nosaltres hem de treballar per fer la independència de Catalunya"", diu @junqueras #AlCostatDeLaGent https://t.co/QGXViTeBLX"
"54",".@junqueras: ""Volem derrotar el PSC a tot arreu. Ja ho hem fet a ciutats com Lleida. I a llocs on els hem guanyat i no hem pogut governar és perquè el PSC ha trobat com aliat l'extrema dreta. Som antagònics amb el PSC en tots els valors que representem"" #AlCostatDeLaGent https://t.co/1Vis9Ia1Yx"
"55","""Som aquí per ajudar a que aquest país sigui una #República. Volem aconseguir la independència per tenir totes les eines per ajudar a la gent i fer un país just i net"", explica @junqueras #AlCostatDeLaGent https://t.co/4RGcEczcGI"
"56",".@junqueras:  ""Defensem l’amnistia perquè és l’única manera de posar el comptador a zero per tots els represaliats d’aquest país. Treballem perquè torni el president @KRLS, la @martarovira i la resta dels exiliats i per la llibertat dels empresonats"" #AlCostatDeLaGent https://t.co/w7sxB6vSZ3"
"57","<U+0001F3A5> [VÍDEO] @perearagones: ""Calen més recursos per a la <U+0001F3E5>salut. La qüestió és com els obtenim. Aquest país els <U+0001F4B0>genera. És imprescindible gestonar des de #Catalunya els impostos i això només serà possible amb un <U+270A>estat independent"" #AlCostatDeLaGent <U+0001F447> https://t.co/Py5VcTQ3Xh"
