"","x"
"35","<U+0001F534> ""Al PSOE le interesa un Vox fuerte. Votaron abstención en el decreto de fondos europeos que ponen 140.000 millones en manos del Gobierno y ahora Tezanos le devuelve el favor con la encuesta de Cataluña"".

<U+0001F4AC> @TeoGarciaEgea, secretario general @populares, en #ElCascabel4F https://t.co/Opl2anFUzn"
"36","“Llevamos al Congreso una propuesta para que haya ayudas directas a los hosteleros y los autónomos no paguen impuestos si se ven obligados a cerrar por el estado de alarma; y PSOE y Podemos han votado en contra, ¿en qué país vive esta gente?”

<U+0001F4FA> @TeoGarciaEgea en #ElCascabel4F https://t.co/8zY8f1qQOk"
"37","“Iglesias ha sufrido una transformación. Según hemos visto, hasta la niñera se la paga el partido y luego la hace alto cargo”.

“Los españoles no merecen un Gobierno que esté haciéndose siempre la zancadilla, porque al final se la hacen a ellos”.
<U+0001F4FA>@TeoGarciaEgea en #ElCascabel4F https://t.co/sdzJaGbFmQ"
"38","“Tenemos conocimiento de la existencia del informe del Consejo de Estado y de que advierte de las grandes ilegalidades que establece el mecanismo de reparto de fondos europeos”.

<U+0001F534> Queremos conocer ese informe, y así lo hemos requerido.

<U+0001F4FA> @TeoGarciaEgea en #ElCascabel4F https://t.co/tkOxZE7lkD"
"39","“Por los ERE todavía merecemos explicaciones. En los ERE se robaron alrededor de 800 mill/€ a los parados, aproximadamente 16 veces lo que robó supuestamente Bárcenas; con lo cual, Ábalos debería de dar explicaciones 16 veces”.

<U+0001F4FA> @TeoGarciaEgea en #ElCascabel4F https://t.co/XtYS2NCF9N"
"40","<U+0001F534> ""¿Ha pactado la Fiscal General del Estado -exdiputada del PSOE- con el condenado Bárcenas para perjudicar al Partido Popular?""

Sorprende que las declaraciones de Ábalos y Bárcenas parecen casi sincronizadas.

<U+0001F4FA> @TeoGarciaEgea en #ElCascabel4F https://t.co/wGEfIIDgBG"
"41","<U+0001F4FB> Nuestro candidato a la presidencia de la Generalitat, @alejandroTGN, estará esta noche en los micrófonos de la @BrujulaOndaCero.

#UnaCataluñaMejor

<U+0001F535> No te pierdas la entrevista, aquí<U+0001F449><U+0001F3FC> https://t.co/eOx4E3FHYb https://t.co/7jXXIDdDDE"
"42","<U+0001F4FA> Nuestro secretario general estará esta noche en @ElCascabelTRECE.

<U+0001F559> Puedes seguir la entrevista a @TeoGarciaEgea en tu TV o en el siguiente enlace, en directo a partir de las 22:15h.<U+0001F449><U+0001F3FD> https://t.co/FcrVy0pM4P https://t.co/8XSFzDACvy"
"43","Iglesias asesoró a dictadores como Chávez.

Irán inyectó 9,3 millones a su productora. 

Quería ""azotar hasta que sangre"" a Mariló Montero. 

Su pareja es Ministra y sus hijos son atendidos por una asesora.

Ambos se llevan de tus impuestos más de 200.000 <U+0001F4B6>.

¿Quién da más? https://t.co/bA31EjOjK7"
"44","Iglesias fue asesor de narcodictadura y llegó a la política por una TV financiada por un régimen torturador y machista.

Hoy, y siempre, calla el pupilo de criminales y máster en feminismo pancartil. 
Pero eso sí: experto en niñeras ministeriales y en manipular Justicia y Estado. https://t.co/gYMOPIpGJ4"
"45","PSC y ERC son lo mismo.
Illa plantea un gobierno populista con Podemos y Calvo con ERC.
Por eso aprueban hoy la mesa de autodeterminación (que hasta la ONU rechaza salvo para colonias) y amnistía (reservada para transiciones desde dictaduras).
Es un insulto a nuestra democracia. https://t.co/eD2XwXy8wz"
"46","""Nos opusimos a la aprobación del RD porque da lugar a malas prácticas. Propusimos una autoridad independiente formada por expertos, tal y como sucede en otros países europeos. No entendemos la postura de Vox favoreciendo esta discrecionalidad"".
<U+0001F4FB> @jaimedeolano en @CAPITALRADIOB"
"47","<U+0001F534> ""@pablocasado_ ya ha anunciado que pediremos la comparecencia de la presidenta del Consejo de Estado, Mª Teresa Fdez. de la Vega. Ayer el Gobierno no dijeron ni mu, y las sesiones de control son para responder a las preguntas de la oposición"".

@jaimedeolano en @CAPITALRADIOB"
"48","""Ayer por la mañana, el Gobierno no respondió a nuestro requerimiento para que diera a conocer el contenido del informe del Consejo de Estado. Una vez que el Gobierno lo pide, debe acompañarlo a la norma que pretende aprobar. Es su obligación"".

<U+0001F4FB>@jaimedeolano en @CAPITALRADIOB"
"49","<U+0001F4FB> A las 20:00h., @jaimedeolano estará en @CAPITALRADIOB.

<U+0001F518> No te pierdas la entrevista a nuestro vicesecretario de Participación, en directo, aquí<U+0001F449><U+0001F3FD> https://t.co/qYSStOHUDT https://t.co/IlrjV68xbF"
"50","Apoyamos la agricultura, ganadería y hostelería en Lleida, Castellnou y Vielha:
-Reclamamos al Gobierno 5.000M€ más de PAC y que incluya la fruta de hueso 
-Pedimos fondos UE para obra hidráulica y de purines
-Bajadas fiscales y liquidez a canal HORECA
-Apoyo al turismo de nieve https://t.co/IkWus6qMM4"
"51","Hoy la @_AVT_ cumple 40 años. Nacisteis para poner voz a las víctimas de la barbarie terrorista, para defender sus intereses y para lograr que nunca nadie olvide. Habéis cumplido y seguís cumpliendo. Gracias por tanto.
#40AniversarioAVT https://t.co/A6aRznQwTy"
"52","El PSOE vota sí a la moción de ERC que pide amnistía y autodeterminación. Ahora en la ""mesa de diálogo"" negociarán, pactarán y cederán ante los independentistas para devolverles sus favores.

<U+0001F534> ¿La autodeterminación está dentro de la Constitución, @PSOE?
https://t.co/qKFojGgDsJ"
"53","Sobre el conflicto entre Libertad d expresión y derecho al disfrute pacífico de la libertad religiosa la izquierda pretende ley del embudo:lo ancho para ellos y lo estrecho para los q piensan diferente.
Su tolerancia y respeto mutuo se acaban con lo católico.
 <U+2066><U+2066>@PPSenado https://t.co/u8vuCYAg29"
"54","El Gobierno sigue ocultando los informes del decretazo de fondos europeos.
Por eso registramos la comparecencia de la presidenta del Consejo de Estado y exvicepresidenta de Zapatero, De la Vega.
Y solicitamos el informe de la Intervención General del Estado.
¿Qué esconden? https://t.co/b99pjbmu12"
"55","<U+0001F5E3><U+FE0F>Solicitamos la comparecencia urgente en el Congreso de la presidenta del Consejo de Estado para que dé cuenta del informe que oculta el Gobierno. https://t.co/2PCenCJd0d"
"56","La consejera de los EREs con Chaves no está para dar lecciones de honradez. Todavía no han devuelto un euro del dinero público que robaron. 

Con más de 5 millones de parados mejor dedicaría su tiempo a trabajar por los españoles. 

Lecciones ni media.  https://t.co/i7BsFJGkJy"
"57","<U+0001F449> @pablocasado_: “El PSC y ERC son lo mismo, y no son el cambio que se necesita para #UnaCataluñaMejor.“ https://t.co/9TX3A3wNRe"
"58","“Vamos a registrar una solicitud al Ministerio de Hacienda para que enseñe el informe de la IGAE, queremos saber lo que los interventores generales del Estado tienen que decir sobre este decreto. Nos la jugamos en #Europa”

<U+0001F449> @pablocasado_ #UnaCataluñaMejor https://t.co/ZboEyLg2MK"
"59","<U+0001F449> @pablocasado_: “Ya ha pasado un día desde que le preguntamos a Sánchez por qué ocultó el informe del Consejo de Estado: Lo tiene Carmen Calvo, que lo publique.”

<U+0001F534> Solicitamos la comparecencia urgente de la presidenta del Consejo de Estado, Teresa Fernández de la Vega. https://t.co/tpXjGsG3ef"
"60","""La #hostelería: no se puede ver como la causante de los contagios, apostamos por ir recuperando su actividad en cuanto sea posible, y proponemos: inyección de liquidez directa, extensión de ERTE, menos impuestos, y ayuda al alquiler.""

<U+0001F449> @pablocasado_ #UnaCataluñaMejor https://t.co/ewVlHa1c8v"
