"","x"
"69","<U+0001F4CC>Tot a punt per començar l'acte telemàtic 'Junts amb el tercer sector social', amb la participació, entre altres, del cap de llista @ramontremosa i del número 3 de la candidatura, @jorfabrega 

<U+25B6><U+FE0F>No te'l perdis, a les 21h a https://t.co/XoheIisYft https://t.co/vqId2Jw1as"
"70","<U+0001F4F7> Aquesta tarda hem rebut la visita sorpresa de @joseprull a #Girona!
<U+0001F49B><U+0001F397>

<U+0001F465> El conseller ha passejat amb la coordinadora de #Junts a la vegueria, @mangelsplanas, amb la cap de llista de @JuntsXCat per #Girona, @GemmaGeis i amb l'alcaldessa i candidata @MartaMadrenas https://t.co/CCjnf3fiar"
"71","Més de tres anys després, amb l’alcaldessa de #Girona, @MartaMadrenas, al costat del riu Ter per posar en valor l’Acord de la Taula del Ter, que vam impulsar des del Govern del President Puigdemont i que contempla la reducció gradual del transvasament a l’àrea de Barcelona. https://t.co/LBIwz38z58"
"72","Avui hem tingut el Conseller @joseprull a #Girona. 
La seva força i persistència ens impulsa a continuar treballant per la independència de Catalunya i per fer un país millor per a tothom! <U+0001F49B>

#JuntsPerFer 
#JuntsPerSer https://t.co/FtRJW2tPsn"
"73","L'acord va ser molt treballat i un punt i a part en la gestió del Ter, i a data d'avui podem dir que estem complint amb allò que es va acordar. Tenim encara molt per fer, però estem en el camí. Gràcies Conseller @joseprull pel compromís amb el territori, i el país! @JuntsGirona https://t.co/3w31XBaV8N"
"74","Si voleu saber per quines polítiques de #salut aposta @JuntsXCat us deixo aquí la presentació d’aquest matí amb @titonlailla @toni_comin @marinageli i @LauraBorras. 

https://t.co/SS1DGC3lKR https://t.co/eWJ623jk57"
"75","Cal que tothom tingui clar , qui defensa i qui és útil pels interessos i necessitats de Catalunya @JuntsXCat https://t.co/q7vJucdvLO"
"76","I acabem el dia amb una trobada amb el món local de @JuntsCerdanya amb la consellera @meritxellbudo. Necessitem polítiques descentralitzades que tinguin en compte el territori, i això és el que defensa @JuntsXCat. https://t.co/E7p9isxO6O"
"77","<U+0001F49B>Moltes gràcies a totes les persones que ens acompanyeu via telemàtica als actes que fem als diferents territoris del país. 

<U+0001F4CC>Si voleu recuperar l'acte d'avui #JuntsPerBadalona, aquí teniu l'enllaç: https://t.co/UFtugsP7kA

#JuntsPerFer #JuntsPerSer https://t.co/LKpxudhAP5"
"78","<U+0001F5E3><U+FE0F> @LauraBorras: ""Aquest govern que es diu ""el més progressista"" ha tirat endavant 2 decisions fonamentals amb el suport de VOX: LOAPA dels Bombers i els Fons europeus. Només amb una victòria clara de #Junts evitarem que el govern de Comuns i Socialistes arribi a la Generalitat"" https://t.co/QtZuncNj2z"
